country,population,averageAge,birthRate,mortality,migration,undernourish,cornProduction,cornExports,cornImports,cornLand,wheatProduction,wheatExports,wheatImports,wheatLand,riceProduction,riceExports,riceImports,riceLand,soyProduction,soyExports,soyImports,soyLand,otherProduction,otherExports,otherImports,otherLand,landArea,arableOpen,organic,conventional,gmo
Austria,8526429,44,8,10,1,5,1639000,207164.6255,805000,2476.912024,1597700,619754,565923,3032.78,0,4279,36146,0,109378,53988,88325,381.23,5102436.007,630870.3413,621178.6723,16984.71823,82409,13677,0.197,0.803,0
Azerbaijan,9514887,30,16,7,0,5,160000,0,150000,350,1841307,5000,1166572,6769.76,0,18,35000,0,6,0,9220,0.1,5117853.092,632776.5253,623055.5728,17036.0378,82658,21486,0.005,0.995,0
Bahamas,382571,31,15,6,0,6,1268.624242,0,300,0.95,0,0,20,0,0,0,1673,0,0,0,31,0,619779.204,76630.12676,75452.90575,2063.088127,10010,58,0,1,0
Bahrain,1344111,31,13,2,13,15,60.51901874,0,22000,0.121038037,0,2215,96589,0,0,0,60167,0,0,0,0,0,47056.16334,5818.071563,5728.692145,156.6380596,760,19,0,1,0
Bangladesh,158512570,24,21,5,0,16,1485000,0,525000,2241.93,1300000,0,3112314,3827.68,34600000,0,500000,118000,65883,0,129150,414.4,8059606.293,996497.8622,981189.2849,26828.38976,130170,75690,0.0007,0.993436961,0.005863039
Barbados,286066,37,11,8,0,5,340,0,35000,1.2,0,21,21480,0,0,1,5712,0,0,0,25590,0,26623.88189,3291.803647,3241.233714,88.6241653,430,160,0,1,0
Belarus,9307609,39,10,13,0,5,570000,100000,100000,1300,2101914,377,17942,6812.5,0,496,31472,0,0,21,9234,0,12563376.45,1553348.554,1529485.425,41820.30089,202910,55575,0,1,0
Belgium,11144420,43,9,10,1,4,2776.594379,0,1200000,4.196082978,1803550,577528,3377584,2065.76,0,295262,493298,0,0,265015,575285,0,1874816.613,231804.2196,228243.1555,6240.790059,30280,8302,0.0436,0.9564,0
Belize,339758,21,25,5,0,6,2090.044789,0,300,20,0,0,13948,0,0,0,170,0,666,0,41,3.41,1412304.06,174618.7005,171936.1419,4701.202815,22810,696,0.0122,0.9878,0
Benin,10599510,17,36,8,0,6,1200000,0,0,8500,0,0,24700,0,141000,83127,1383705,650,10000,347,2,170,6981648.656,863218.0913,849957.0082,23240.14158,112760,26029,0.0008,0.9992,0
Bhutan,765552,26,18,6,0,10,70000,0,0,450,5310,0,16074,25.97,0,0,72297,0,0,0,0,0,2360052.34,291799.2549,287316.5243,7856.016997,38117,1081,0.0121,0.9879,0
Bolivia,10847664,23,23,6,0,21,725000,25000,5000,3150,223572.4505,0,80277,1894.51,310000,1875,78829,1700,1861038,27286,11489,11775.41,67073607.57,8293048.584,8165647.632,223271.0657,1083300,30146,0.0009,0.758715385,0.240384615
Bosnia and Herzegovina,3824746,40,8,9,0,8,650000,0,200000,1750,265152,1814,344172,622.48,0,4,7171,0,6748,269,22457,38.84,3157716.224,390423.2233,384425.3939,10511.23821,51000,10040,0.0002,0.9998,0
Botswana,2038587,22,21,13,4,26,15000,0,200000,87,0,176,56514,0,0,456,28898,0,0,0,3182,0,35089657.17,4338520.653,4271870.657,116804.5888,566730,3805,0,1,0
Brazil,202033670,30,14,6,0,7,75000000,22000000,800000,150000,5700000,2350720,5740453,20871.24,8300000,929918,624397,24000,74815448,32985895,41079,239686.63,517502633,63984548.22,63001593.37,1722635.305,8358140,586036,0.0027,0.46563306,0.53166694
Brunei Darussalam,423205,29,17,3,2,5,525.1048694,0,5000,1.693886675,0,0,10,0,1000,0,24017,10,0,2,721,0,326297.3432,40343.73307,39723.95737,1086.161282,5270,110,0,1,0
Bulgaria,7167998,42,8,14,-2,5,2300000,290713.0193,0,3475.837495,5097000,2137202,27180,11742.14,0,48113,30321,0,680,3141,7712,5.88,6721601.438,831065.5906,818298.4464,22374.5102,108560,33099,0.0128,0.9872,0
Burkina Faso,17419615,17,42,11,0,25,1600000,15000,0,8500,0,0,59920,0,220000,80,362027,1700,23056,0,0,259.84,16940218.8,2094505.763,2062329.172,56389.70146,273600,48353,0.0013,0.912044887,0.086655113
Burundi,10482752,17,42,9,0,67,140000,0,10000,1200,6423,0,10400,99.21,0,0,19839,0,0,0,0,0,1590002.993,196589.576,193569.4925,5292.717593,25680,9124,0.0003,0.9997,0
Cabo Verde,538535,24,20,6,0,10,367.0273723,0,20000,150,0,0,22170,0,0,0,36244,0,0,0,6,0,249521.4977,30851.09,30377.14387,830.5939213,4030,460,0,1,0
Cambodia,15408270,24,24,7,0,15,1075000,300000,0,2400,0,0,15744,0,4700000,1200000,41162,30250,114603,7334,102,705.84,10929413.1,1351323.674,1330564.128,36381.25037,176520,36081,0.0016,0.9984,0
Cameroon,22818632,18,36,10,0,13,1700000,0,5000,8000,850,0,416925,6.63,107000,0,525000,1400,13077,0,10,158.02,29268314.44,3618763.958,3563171.137,97426.81204,472710,58868,0.0001,0.9999,0
Canada,35524732,41,10,8,5,3,11500000,500000,1500000,12300,37529600,16335086,64358,94941,0,6168,401007,0,4246300,2651153,296323,15424,563033805.2,69614068.34,68544630.67,1874197.054,9093510,415573,0.0123,0.745498472,0.242201528
Central African Republic,4709203,19,35,14,0,28,120000,0,0,950,0,0,0,0,0,0,4116,0,0,0,0,0,38572432.42,4769134.503,4695869.253,128397.8663,622980,19313,0,1,0
Chad,13211146,17,37,14,-3,29,350000,0,25000,3000,32000,0,29598,109.57,0,0,6207,0,0,0,0,0,77964632.74,9639625.936,9491538.354,259524.5324,1259200,35258,0,1,0
Chile,17772871,33,13,5,0,5,1400000,100000,1300000,1300,1474663,111,655527,2567.58,90000,7217,145000,240,0,10759,139031,0,46036530.58,5692003.138,5604560.431,153243.9602,743532,19619,0.0014,0.969936849,0.028663151
China,1393783836,36,12,7,0,11,215500000,100000,2500000,370000,121930527,39794,1248822,242128.93,144500000,400000,4300000,305700,14485105,281866,54845656,78890.55,581280513.6,71870109.79,70766013.96,1934935.729,9388211,1385905,0.0036,0.96457171,0.03182829
Colombia,48929706,28,16,5,0,11,1750000,0,4200000,5000,8408,0,1535088,53.66,1300000,29,350000,4000,75436,378,276105,346.57,68695806.88,8493618.946,8363136.756,228670.9567,1109500,20878,0.0008,0.969865884,0.029334116
Comoros,752438,19,29,7,-2,65,197.4831138,0,80,30,0,0,0,0,0,0,23748,0,0,0,0,0,115225.6842,14246.61997,14027.758,383.5571433,1861,778,0.017,0.983,0
Congo,4558594,19,36,10,-7,0.33,13000,0,10000,130,9000,202,156906,0,200000,0,140000,4200,0,0,6,0,140366677.8,17355077.81,17088462.54,467245.1487,2267050,4952,0,1,0
Costa Rica,4937755,30,16,4,0,8,18000,0,750000,100,0,0,224977,0,145000,4375,100000,650,0,54,212561,0,3161431.185,390882.5447,384877.6591,10523.60437,51060,2229,0.0052,0.910054237,0.084745763
C™te d'Ivoire,20804774,20,29,9,0,18,650000,25000,5000,3250,0,0,453980,0,520000,30000,1200000,4500,887,0,1,9.34,19689289.4,2434403.627,2397005.397,65540.66178,318000,32531,0.001,0.999,0
Croatia,4272044,42,9,12,1,15,1870000,236362.3244,35000,2826.007007,998940,108720,791,1804.17,0,1302,361372,0,147271,54701,3907,588.96,3464819.606,428393.7956,421812.6479,11533.50765,55960,14566,0.0241,0.9759,0
Cuba,11258597,39,9,7,-3,5,360000,0,900000,1550,0,0,805975,0,455000,0,450000,2150,0,0,132134,0,6590339.508,814836.2331,802318.4104,21937.57245,106440,30631,0.0008,0.986618218,0.012581782
Cyprus,1153058,35,11,6,9,15,841.8058998,0,180000,1.272165439,35200,36,103793,135.91,0,62,6385,0,0,0,68,0,572103.8807,70735.50163,69648.83608,1904.38904,9240,999,0.0269,0.9731,0
Czech Republic,10740468,40,9,10,2,15,7177.282604,907.1867377,20000,10.8465513,4700700,1414881,27626,8359.77,0,17826,84742,0,17934,2614,30392,75.84,4781773.02,591223.2458,582140.6505,15917.31229,77230,29999,0.115,0.869567901,0.015432099
Democratic People's Republic of Korea,25026588,33,14,9,0,5,1930000,0,100000,5300,75000,0,398600,610,1700000,0,60000,5650,350000,0,26400,3000,7455306.09,921781.5748,907620.8173,24816.82731,120410,26972,0,1,0
Democratic Republic of the Congo,69360118,17,35,10,0,23.8,1400000,0,10000,17000,9200,0,459901,75.89,0,0,50,0,0,0,0,0,140366677.8,17355077.81,17088462.54,467245.1487,2267050,64853,0.0023,0.9977,0
Denmark,5640184,41,10,10,2,5,3921.814426,495.7054405,45000,5.926778101,4139000,886924,354545,6431,0,4462,34824,0,0,123,81643,0,2627096.067,324816.8111,319826.8522,8744.937985,42430,22295,0.0736,0.9264,0
Djibouti,886313,22,24,7,6,21,16,0,973000,0.08,0,0,521040,0,0,0,5850,0,0,0,0,0,1435212.982,177451.1827,174725.1104,4777.460818,23180,9,0,1,0
Dominica,71293,32,15,7,-5,5,200,0,800,1.2,0,0,0,0,0,0,92,0,0,0,4,0,46437.0033,5741.517989,5653.314617,154.5770325,750,50,0.0098,0.9902,0
Dominican Republic,10528954,27,18,4,-1,16,45000,5000,1200000,290,0,0,562260,0,552000,10139,10567,1620,0,0,8500,0,2991781.333,369906.8657,364224.2164,9958.882947,48320,10881,0.0868,0.9132,0
Ecuador,15982551,26,18,5,0,16,1055000,5000,300000,3300,5755,0,565523,79.62,800000,50000,257,3640,71000,115,385,480,15377458.85,1901284.544,1872076.291,51187.66906,248360,15808,0.0075,0.9925,0
Egypt,83386739,25,23,4,0,5,5750000,10000,7500000,7100,9460200,2665,9800061,13466.29,4500000,500000,1823832,6500,29785,85,1712450,95.48,61634286.58,7620525.443,7503456.047,205164.9427,995450,29067,0.0223,0.9777,0
El Salvador,6383752,25,16,5,-8,12,800000,0,550000,2700,0,0,243849,0,20000,5000,97555,60,4611,18,279,25.82,1282899.611,158619.0037,156182.2385,4270.448151,20720,6500,0.0044,0.9956,0
Equatorial Guinea,778061,19,33,8,0,15,2552.810518,0,68849.28775,11.60368417,0,0,0,0,0,0,50,0,0,0,0,0,1736743.923,214732.7728,211433.9667,5781.181016,28050,1299,0,1,0
Eritrea,6536176,19,30,7,0,61,20000,0,0,200,30000,0,135247,255.5,0,0,50,0,0,0,0,0,6253516.444,773191.0892,761313.035,20816.37371,101000,5799,0,1,0
Estonia,1283771,41,10,13,-3,5,1,0,1000,0.002,406300,70214,9387,1259.67,0,641,3952,0,0,372,2021,0,2624619.427,324510.5968,319525.3421,8736.693877,42390,5207,0.1525,0.8475,0
Ethiopia,96506031,17,17,8,0,37,6500000,5000,0,24000,4000000,1000,1654282,15904.85,0,300,156279,0,35880,1004,1467,193.97,61916004.4,7655357.319,7537752.822,206102.71,1000000,112080,0.0046,0.9954,0
Fiji,887027,27,19,6,-6,5,1662.68041,1000,2000,5,0,0,102899,0,0,10859,38924,0,0,2,230,0,1131205.4,139863.3782,137714.7441,3765.496512,18270,2001,0.0052,0.9948,0
Finland,5443497,43,10,10,0,5,1,0,1300,0.002,887800,194365,7446,2369.67,0,275,22812,0,0,2,6504,0,18815654.58,2326386.536,2290647.705,62632.55254,303890,19913,0.0865,0.9135,0
France,64641279,40,12,9,1,5,15053000,1902653.513,450000,22748.60079,38613900,20345934,519412,54839,0,66374,532516,0,122524,34236,675239,415.71,33902789.29,4191775.109,4127379.473,112853.806,547561,214162,0.0376,0.9624,0
Gabon,1711294,18,34,13,-2,6,24359.31457,0,0,270,0,0,94400,0,0,0,67942,0,3500,0,1749,40,15953896.85,1972555.92,1942252.77,53106.48529,257670,3118,0,1,0
Gambia,1908954,20,31,7,-2,0.16,40000,0,0,300,0,0,3,0,35000,45,125000,640,0,0,19,0,626589.9645,77472.21607,76282.05856,2085.759425,10120,2788,0,1,0
Georgia,4322842,37,12,10,-3,13,300000,25000,50000,1200,81000,19719,623918,461.33,0,2320,10112,0,1500,0,12,6,4302543.146,531970.7801,523798.4436,14322.07732,69490,8022,0.0008,0.9992,0
Germany,82652256,46,8,11,1,5,4387300,554541.4042,1900000,6630.235583,25019100,6168890,4410957,31458,0,79911,390061,0,2000,46862,3192775,10,21580204.17,2668198.24,2627208.369,71835.03854,348540,115698,0.0619,0.9381,0
Ghana,26442178,20,31,7,-2,5,1800000,5000,5000,10000,0,0,325030,0,330000,0,620000,2000,0,18,282,0,14088367.64,1741900.004,1715140.277,46896.61063,227540,40507,0.0018,0.9982,0
Greece,11128404,43,8,11,2,5,2185000,276177.3684,400000,3302.04562,1585600,342058,939021,5570.67,0,128688,19435,0,4000,110,266354,20,7980972.967,986775.5584,971616.3388,26566.63932,128900,26749,0.0559,0.9441,0
Grenada,106303,29,16,8,-3,18.7,31.30607887,0,10000,4,0,0,23118,0,0,0,1985,0,0,0,1,0,21051.4415,2602.821489,2562.83596,70.0749214,340,20,0.0068,0.9932,0
Guatemala,15859714,21,25,4,-2,31,1700000,10000,850000,8500,1556,201,516907,7,23000,491,97845,100,37000,62,13796,140,6634919.032,820348.0903,807745.5924,22085.9664,107160,14334,0.003,0.997,0
Guinea,12043898,18,36,9,0,15,625000,0,0,5000,0,10000,43182,0,1452000,100000,340000,11500,0,0,0,0,15214000.6,1881074.4,1852176.623,50643.5579,245720,10990,0,1,0
Guinea-Bissau,1745798,19,33,14,0,10,10000,0,0,120,0,0,0,0,120000,0,135000,1350,0,0,0,0,1741078.044,215268.6478,211961.6094,5795.608205,28120,2327,0,1,0
Guyana,803677,25,15,7,-9,5,5000,0,40000,50,0,0,29123,0,633000,500000,41,1950,0,1,306,0,12188165.47,1506957.088,1483806.643,40571.31846,196850,4390,0.0025,0.9975,0
Haiti,10461409,22,22,7,-4,50,250000,0,10000,3500,0,0,250000,0,69000,0,420000,750,0,0,1,0,1706405.081,210981.6477,207740.4678,5680.190688,27560,7747,0.0004,0.9996,0
Honduras,8260749,21,23,5,-1,9,600000,5000,450000,4000,1000,0,198192,26.39,65000,0,110000,240,2000,9,5508,8.8,6927781.732,856557.9304,843399.1633,23060.83222,111890,10663,0.0078,0.958186395,0.034013605
Hungary,9933173,41,9,12,1,15,6724800,849994.3098,100000,10162.74434,5095800,1246456,66888,10451.61,0,3141,18476,0,94955,42364,26763,410.09,5605255.878,693039.4981,682392.763,18658.47834,90530,45782,0.0309,0.9691,0
Iceland,333135,36,13,7,0,5,1,0,20000,0.002,0,0,36139,0,0,0,1422,0,0,0,41,0,6207079.441,767449.5712,755659.7204,20661.79668,100250,70,0.0036,0.9964,0
India,1267401849,27,19,7,0,17,22500000,2500000,10000,93000,93510000,499901,25,295262,102000000,11162015,1798,435000,12214000,45939,778,101800,184088045.1,22760831.83,22411171.31,612782.5163,2973190,1451810,0.0028,0.928712511,0.068487489
Indonesia,252812245,29,17,6,-1,9,9200000,25000,2600000,31200,0,0,5604861,0,36500000,2586,1300000,121600,843838,2844,2092134,6222.54,112165176.1,13868215.66,13655166.88,373369.4864,1811570,201456,0.0016,0.9984,0
Iran,78470222,28,18,5,0,5,1250000,0,5500000,3500,14000000,45873,71005,68085.31,1683000,0,1700000,6000,170000,1502,838033,700,100833309,12467132.16,12275607.36,335648.5684,1628550,195600,0.0009,0.9991,0
Iraq,34768761,21,26,4,0,26,250000,0,100000,800,4178379,0,2888833,14455.38,267000,0,1450000,960,51,0,8287,0.4,26891359.03,3324874.791,3273796.806,89514.52901,434320,56700,0,1,0
Ireland,4677340,35,15,6,3,5,7682.821175,0,300000,11.61053822,545000,120118,217395,842.67,0,488,23354,0,0,1130,15252,0,4265393.543,527377.5657,519275.7919,14198.41569,68890,11587,0.0131,0.9869,0
Israel,7822107,29,18,5,1,5,110,25000,1700000,50,151800,333,1550260,642.43,0,155,193277,0,0,6,423798,0,1339862.335,165661.9324,163116.9711,4460.062644,21640,3141,0.0118,0.9882,0
Italy,61070224,44,8,10,4,5,7482000,945702.0916,2700000,11307.05049,7277492,570009,7321062,18335.6,1153000,737000,95000,2500,564638,90257,1241563,1659.55,18211973.53,2251746.802,2217154.615,60623.05112,294140,77651,0.0912,0.9088,0
Jamaica,2798837,24,18,6,-4,9,2000,0,300000,40,0,0,194562,0,0,1075,85076,0,0,31,554,0,670550.3277,82907.51977,81633.86306,2232.092349,10830,1715,0.0012,0.9988,0
Japan,126999808,46,8,9,0,5,1000,0,15400000,10,800000,300000,6214220,2103,7679000,200000,700000,15750,218800,3704,2830842,1367,22572098.56,2790837.064,2747963.169,75136.80396,364560,43620,0.0027,0.9973,0
Jordan,7504812,21,25,3,17,5,5000,10000,550000,10,20000,510,437425,170.69,0,1168,200000,0,0,8287,75,0,5496902.871,679642.6228,669201.6955,18297.79859,88780,3053,0.0028,0.9972,0
Kazakhstan,16606878,29,19,8,0,5,664000,10000,0,1260,13940800,2891482,15400,136836,245000,40000,20000,950,133100,6449,836,701,167154637.1,20667168.15,20349671.29,556415.4862,2699700,221059,0.0014,0.9986,0
Kenya,45545980,19,28,7,0,26,2700000,5000,500000,20000,485846,3084,1467709,146737,79000,10000,420000,250,4335,89,5694,17.34,35238874.74,4356970.065,4290036.641,117301.2964,569140,45597,0.0002,0.9998,0
Kiribati,103942,23,21,7,-2,7.6,73.80590105,0,2,0.238083552,0,0,0,0,0,0,10607,0,0,0,56,0,50151.96356,6200.839429,6105.579786,166.9431951,810,22,0,1,0
Kuwait,3479371,28,20,2,-1,5,1621.72769,0,200000,10,1800,0,359100,7.62,0,8536,225000,0,0,0,124,0,1103343.198,136418.4674,134322.7553,3672.750292,17820,150,0,1,0
Kyrgyzstan,5625015,25,23,6,-6,0.059,450000,0,0,750,800000,0,289895,3473.52,0,211,21658,0,70,0,3597,0.68,11875489.64,1468297.534,1445740.991,39530.49978,191800,78542,0.0003,0.9997,0
Lao People's Democratic Republic,6894098,22,24,7,-1,29.4,1150000,300000,615696.5158,2150,0,0,0,0,1550000,0,10000,9000,13820,215,0,91.45,3849937.154,476010.1181,468697.4705,12815.46651,62180,9255,0.0026,0.9974,0
Latvia,2041111,41,9,13,-2,5,1,0,10000,0.002,1435000,468663,112551,3438.67,0,1842,6359,0,0,18593,31058,0,3849937.154,476010.1181,468697.4705,12815.46651,62180,17926,0.1077,0.8923,0
Lebanon,4965914,29,14,4,83,5,3000,0,650000,10,140000,7245,446120,366.67,0,803,63529,0,0,7,155,0,633400.725,78314.30538,77111.21137,2108.430723,10230,1673,0.0048,0.9952,0
Lesotho,2097511,23,25,14,-7,16,86000,0,100000,1200,13000,0,70000,157.69,0,0,6823,0,0,0,0,0,1879769.894,232416.6482,228846.1757,6257.278276,30360,3300,0.0003,0.9997,0
Liberia,4396873,17,35,9,0,29,10135.34303,0,15000,14.5,0,93,14350,0,189000,0,300000,2500,3100,0,20,73.48,5963749.544,737364.017,726036.3518,19851.81303,96320,3304,0,1,0
Libya,6253452,27,18,3,16,5,160128.7733,0,700000,400.3219332,200000,0,832051,0,0,0,310000,0,0,0,81,0,108943686.4,13469907.42,13262977.6,362645.9624,1759540,18123,0,1,0
Liechtenstein,37313,42,10,7,4,5,14.56096691,0,3399.473031,0.018788344,0,0,0,0,0,0,50,0,0,0,0,0,9906.560704,1224.857171,1206.040452,32.9764336,160,40,0.296,0.704,0
Lithuania,3008287,41,9,11,0,1,5933.594018,749.988275,90000,8.967047203,2862300,808963,64287,6144.67,0,2615,13527,0,0,9,1160,0,3880523.66,479791.8646,472421.1204,12917.28125,62674,29261,0.054,0.946,0
Luxembourg,536761,39,11,8,7,5,235.3416278,0,8000,0.355656197,91057,16517,78326,138.99,0,54,2610,0,0,0,200,0,160362.4514,19827.37546,19522.77981,533.8060189,2590,709,0.03,0.97,0
Madagascar,2371571962,19,33,6,0,27,450000,5000,10000,3000,5000,0,25061,42.51,2752000,816,38872584,14500,42,0,177,0.74,36022421.78,4453848.612,4385426.903,119909.5262,581795,29251,0.0007,0.9993,0
Malawi,16829144,16,41,8,0,20,3929000,100000,25000,17500,1784,11213,161000,12.6,0,1865,979,0,75665,5041,94,758.39,5837440.895,721747.0881,710659.3361,19431.3635,94280,19456,0.00001,0.99999,0
Malaysia,30187896,27,20,5,0,5,56000,10000,3400000,100,0,7703,1142454,0,1800000,10776,1100000,6880,0,31676,638311,0,20342503.25,2515167.647,2476528.69,67715.04537,328550,17939,0.0001,0.9999,0
Maldives,351572,27,15,3,-12,5.4,27.30181297,0,16,0.28,0,0,2,0,0,0,24591,0,0,0,53,0,18574.80132,2296.607196,2261.325847,61.830813,300,40,0,1,0
Mali,15768227,16,45,13,-2,7,1500000,0,0,6000,27430,0,103971,90.31,1350000,0,150000,6900,1900,0,41,28,75549289.41,9340990.447,9197490.616,251484.4657,1220190,37600,0.0004,0.9996,0
Malta,430146,40,10,8,1,5,28.75790966,0,40000,0.043459922,15000,0,27337,28.33,0,11,2377,0,0,0,52,0,19813.12141,2449.714342,2412.080903,65.9528672,320,99,0.0022,0.9978,0
Marshall Islands,70983,22,26,4,-4,30,16.47209382,0,4911.218998,0.021254315,0,0,0,0,0,0,50,0,0,0,0,0,11144.88079,1377.964317,1356.795508,37.0984878,180,20,0,1,0
Mauritania,3984457,19,31,8,0,8,20000,0,0,240,2900,0,292593,17.51,100000,0,110000,420,0,0,7,0,63816825.74,7890376.789,7769161.834,212430.0632,1030700,2061,0,1,0
Mauritius,1249151,33,13,6,0,5,185.6523282,0,90000,0.93,0,0,107263,0,0,1168,57093,0,0,93,289,0,125689.4889,15540.37536,15301.63823,418.3885013,2030,995,0.0002,0.9998,0
Mexico,123799215,27,19,5,-1,5,23200000,500000,10900000,70800,3357307,835908,4047832,6250,155000,3000,932226,390,205234,91,3342361,1555.13,120361616.8,14881631.86,14653014.6,400653.3631,1943950,243457,0.0227,0.96950516,0.00779484
Micronesia,103903,23,20,4,-20,10,80,0,9417.626222,0.56,0,0,0,0,0,0,50,0,0,0,56,0,43341.20308,5358.750123,5276.426975,144.271897,700,40,0,1,0
Monaco,30508,51,6,9,2,7,0,0,3440.672702,0,0,0,0,0,0,0,50,0,0,0,0,0,123.8320088,15.31071464,15.07550564,0.41220542,2,0,0,1,0
Mongolia,2881415,27,20,6,0,21,142424.4576,0,1000,547.7863755,368379,0,7402,2880.74,0,0,20398,0,0,0,118,0,96190227.8,11893056.92,11710351.27,320192.9261,1553560,11816,0,1,0
Montenegro,621542,39,10,9,0,8,1256.975469,0,13000,28,2300,0,27706,7.76,0,3,1523,0,0,0,542,0,832770.2592,102964.5559,101382.7755,2772.08145,13450,1675,0.006,0.994,0
Morocco,33492909,28,18,4,-3,5,200000,0,2300000,1180,6933982,255,3661864,31447.43,0,625,14581,0,1000,1,32836,10,27633112.76,3416585.972,3364099.085,91983.63947,446300,84797,0.0006,0.9994,0
Mozambique,26472977,16,38,12,-2,37,1900000,5000,100000,14000,20500,0,378353,120.8,228000,630,1880043,2400,0,0,2129,0,48689507.54,6020019.889,5927538.064,162075.0491,786380,42576,0.0001,0.9999,0
Myanmar,53718958,27,18,8,0,17,1750000,600000,0,4500,188000,2986,152696,1009.69,12150000,1550000,20,70650,236912,5000,0,1574.98,40449106.51,5001168.383,4924338.541,134644.8394,653290,98135,0.0001,0.975410204,0.024489796
Namibia,2347988,22,20,13,0,29,75000,0,125000,350,15000,260,41606,20.67,0,186,15292,0,0,0,9,0,50974827.26,6302579.127,6205756.521,169682.3001,823290,8172,0.0004,0.9996,0
Nauru,9488,25,25,5,-14,10,0,0,847.8219166,0,0,0,0,0,0,0,50,0,0,0,0,0,1300.236092,160.7625037,158.2928093,4.32815691,21,0,0,1,0
Nepal,28120740,22,21,6,3,16,2300000,0,125000,9060,1727346,0,824,7623.53,3100000,174,350000,15600,28318,0,71572,293.17,8875659.231,1097395.472,1080536.867,29544.82348,143350,23009,0.0012,0.9988,0
Netherlands,16802463,42,10,8,1,5,3779.116951,477.6689127,3500000,5.711128867,1331400,549447,3906390,1517.89,0,153385,269496,0,0,1473553,3099661,0,2087807.668,258138.6488,254173.0252,6949.783381,33720,7441,0.0249,0.9751,0
New Zealand,4551349,37,13,7,2,5,220000,5000,0,190,439892,291,312068,521.85,0,286,46861,0,0,23,1296,0,16303103.12,2015732.136,1984765.696,54268.90457,263310,14848,0.0093,0.9907,0
Nicaragua,6169269,24,18,5,-3,22,540000,10000,200000,3700,0,0,127028,0,284000,5689,119490,1020,5000,207,31,24.5503,7450971.969,921245.6998,907093.1746,24802.40012,120340,17810,0.0065,0.9935,0
Niger,18534802,15,46,12,0,14,115304.6568,0,15000,150,6000,0,7667,18.11,26000,35064,384831,80,0,0,1,0,78429002.77,9697041.116,9548071.5,261070.3028,1266700,144784,0.000002,0.999998,0
Nigeria,178516904,18,38,13,0,7,7500000,100000,200000,42500,80000,272,4039669,896.67,2550000,834,19618,23000,563810,11000,25,5993.5,56391239.33,6972269.786,6865159.138,187712.1652,910770,300736,0.0001,0.9999,0
Norway,5091924,39,12,8,7,5,1,0,100000,0.002,199400,905,409500,652.37,0,255,24440,0,0,2,420571,0,22615935.1,2796257.057,2753299.898,75282.72468,365268,8301,0.051,0.949,0
Oman,3926492,24,24,3,0,18,19335.14394,0,95000,92.07211401,2100,6221,202622,6.51,0,15928,233971,0,0,0,0,0,19163003.36,2369333.09,2332934.498,63788.78875,309500,255,0.00002,0.99998,0
Pakistan,185132926,22,23,6,-1,17,4990000,300000,15000,11400,24211400,2087422,21841,87532.33,6500000,3900000,79205,27600,89,20,216,1.28,47729809.47,5901361.85,5810702.896,158880.4571,770880,190319,0.0009,0.867878281,0.131221719
